"filename", "language", "Properties", "Groovy", "Dart", "Swift", "Markdown", "C++", "XML", "JSON", "Java", "YAML", "comment", "blank", "total"
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\.gradle\5.2.1\gc.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\.gradle\buildOutputCleanup\cache.properties", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\.gradle\vcs-1\gc.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\README.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 9, 21
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\build.gradle", "Groovy", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 77
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 16, 4, 65
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\java\com\lancer\neofilemanager\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\build.gradle", "Groovy", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\gradle.properties", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
