Date : 2020-06-07 18:04:33
Directory : d:\a-Projects\VS code\FLUTTER\neo_file_manager
Total : 44 files,  1759 codes, 203 comments, 207 blanks, all 2169 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         20 |      1,317 |        108 |        136 |      1,561 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| XML        |          7 |        127 |         40 |         11 |        178 |
| Groovy     |          3 |        102 |          8 |         22 |        132 |
| YAML       |          1 |         22 |         45 |         13 |         80 |
| Markdown   |          2 |         15 |          0 |         11 |         26 |
| Properties |          6 |         14 |          2 |          6 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Java       |          1 |          4 |          0 |          3 |          7 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         44 |      1,759 |        203 |        207 |      2,169 |
| .gradle                                                                                                              |          3 |          1 |          1 |          3 |          5 |
| .gradle\5.2.1                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| .gradle\buildOutputCleanup                                                                                           |          1 |          1 |          1 |          1 |          3 |
| .gradle\vcs-1                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| android                                                                                                              |         12 |        185 |         47 |         37 |        269 |
| android\app                                                                                                          |          7 |        125 |         46 |         26 |        197 |
| android\app\src                                                                                                      |          6 |         70 |         38 |         12 |        120 |
| android\app\src\debug                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                 |          4 |         62 |         32 |         10 |        104 |
| android\app\src\main\java                                                                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com                                                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com\lancer                                                                                 |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com\lancer\neofilemanager                                                                  |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                             |          2 |         13 |         16 |          3 |         32 |
| android\app\src\main\res\drawable                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                       |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                               |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                  |         19 |      1,303 |         98 |        129 |      1,530 |
| lib\Item                                                                                                             |          8 |        236 |          7 |         30 |        273 |
| lib\Item\Preview                                                                                                     |          5 |         96 |          0 |         16 |        112 |
| lib\Item\Preview\Impl                                                                                                |          4 |         89 |          0 |         15 |        104 |
| lib\OperationButtom                                                                                                  |          8 |        198 |          7 |         51 |        256 |
| lib\Opertaion                                                                                                        |          1 |        303 |         37 |         16 |        356 |
| test                                                                                                                 |          1 |         14 |         10 |          7 |         31 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\.gradle\5.2.1\gc.properties                                           | Properties |          0 |          0 |          1 |          1 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\.gradle\buildOutputCleanup\cache.properties                           | Properties |          1 |          1 |          1 |          3 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\.gradle\vcs-1\gc.properties                                           | Properties |          0 |          0 |          1 |          1 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\README.md                                                             | Markdown   |         12 |          0 |          9 |         21 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\build.gradle                                              | Groovy     |         55 |          8 |         14 |         77 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\debug\AndroidManifest.xml                             | XML        |          4 |          3 |          1 |          8 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\AndroidManifest.xml                              | XML        |         45 |         16 |          4 |         65 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\java\com\lancer\neofilemanager\MainActivity.java | Java       |          4 |          0 |          3 |          7 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\res\drawable\launch_background.xml               | XML        |          4 |          7 |          2 |         13 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\main\res\values\styles.xml                            | XML        |          9 |          9 |          1 |         19 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\app\src\profile\AndroidManifest.xml                           | XML        |          4 |          3 |          1 |          8 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\build.gradle                                                  | Groovy     |         35 |          0 |          4 |         39 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\gradle.properties                                             | Properties |          4 |          0 |          1 |          5 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\gradle\wrapper\gradle-wrapper.properties                      | Properties |          5 |          1 |          1 |          7 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\key.properties                                                | Properties |          4 |          0 |          1 |          5 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\android\settings.gradle                                               | Groovy     |         12 |          0 |          4 |         16 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\AppDelegate.swift                                          | Swift      |         12 |          0 |          2 |         14 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json           | JSON       |        122 |          0 |          1 |        123 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json         | JSON       |         23 |          0 |          1 |         24 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md             | Markdown   |          3 |          0 |          2 |          5 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\Base.lproj\LaunchScreen.storyboard                         | XML        |         36 |          1 |          1 |         38 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\Base.lproj\Main.storyboard                                 | XML        |         25 |          1 |          1 |         27 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\ios\Runner\Runner-Bridging-Header.h                                   | C++        |          1 |          0 |          1 |          2 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Common.dart                                                  | Dart       |         75 |          7 |          5 |         87 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Mode.dart                                                    | Dart       |          8 |          0 |          2 |         10 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Preview\FilePre.dart                                         | Dart       |          7 |          0 |          1 |          8 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Preview\Impl\FilePreDecrator.dart                            | Dart       |          6 |          0 |          1 |          7 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Preview\Impl\ProxyFilePre.dart                               | Dart       |         42 |          0 |          6 |         48 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Preview\Impl\RealFilePre.dart                                | Dart       |         29 |          0 |          5 |         34 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\Preview\Impl\TxtFilePre.dart                                 | Dart       |         12 |          0 |          3 |         15 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Item\widgetItem.dart                                              | Dart       |         57 |          0 |          7 |         64 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\AddToFavOperationButton.dart                      | Dart       |         17 |          1 |          8 |         26 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\CopyOperationButton.dart                          | Dart       |         27 |          2 |          6 |         35 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\CutOperationButton.dart                           | Dart       |         23 |          1 |          7 |         31 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\DeleteOperationButton.dart                        | Dart       |         34 |          1 |          9 |         44 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\IOperateButtonBusiness.dart                       | Dart       |          9 |          0 |          4 |         13 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\IOptButton.dart                                   | Dart       |         40 |          0 |          5 |         45 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\RemoveFavOperationButton.dart                     | Dart       |         17 |          1 |          5 |         23 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\RenameOperationButton.dart                        | Dart       |         31 |          1 |          7 |         39 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Opertaion\Operation.dart                                          | Dart       |        303 |         37 |         16 |        356 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\file_manager.dart                                                 | Dart       |        506 |         38 |         23 |        567 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\main.dart                                                         | Dart       |         60 |          9 |          9 |         78 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\pubspec.yaml                                                          | YAML       |         22 |         45 |         13 |         80 |
| d:\a-Projects\VS code\FLUTTER\neo_file_manager\test\widget_test.dart                                                 | Dart       |         14 |         10 |          7 |         31 |
| Total                                                                                                                |            |      1,759 |        203 |        207 |      2,169 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
